id,item_type,title,genres,release_year,author_director,actors,description
1,book,Тіні забутих предків,Класика;Проза,1911,Михайло Коцюбинський,,Повість про кохання гуцула Івана та Марічки на тлі карпатських традицій
2,book,Собор,Історична проза;Драма,1968,Олесь Гончар,,Епічний роман про долю майстра-будівничого та його творіння
3,book,Музей покинутих секретів,Сучасна проза;Історія,2009,Оксана Забужко,,Багатошаровий роман про три покоління українців та їхні таємниці
4,book,Польові дослідження з українського сексу,Сучасна проза;Гумор,1996,Оксана Забужко,,Феміністський роман про пошуки ідентичності
5,book,Ворошиловград,Сучасна проза;Магічний реалізм,2010,Сергій Жадан,,Історія про повернення додому та пошуки себе на Донбасі
6,book,Інтернат,Антиутопія;Драма,2017,Сергій Жадан,,Роман про вчителя у зоні воєнного конфлікту
7,book,Майстер і Маргарита,Класика;Фантастика,1967,Михайло Булгаков,,Філософський роман про добро і зло
8,book,1984,Антиутопія;Фантастика,1949,Джордж Орвелл,,Роман про тоталітарне суспільство та контроль
9,book,Сто років самотності,Магічний реалізм;Сімейна сага,1967,Габріель Гарсія Маркес,,Історія сім'ї Буендіа у містечку Макондо
10,book,Злодійка книжок,Історична проза;Драма,2005,Маркус Зузак,,Історія дівчинки у нацистській Німеччині
11,book,Гаррі Поттер і філософський камінь,Фентезі;Пригоди,1997,Джоан Роулінг,,Перша книга про юного чарівника
12,book,Кобзар,Поезія;Класика,1840,Тарас Шевченко,,Збірка поезій про українську долю
13,movie,Тіні забутих предків,Драма;Історичний,1965,Сергій Параджанов,Іван Миколайчук;Лариса Кадочникова,Екранізація повісті Коцюбинського про трагічне кохання
14,movie,Той самий Мюнхгаузен,Комедія;Фентезі,1979,Марк Захаров,Олег Янковський;Інна Чурікова,Філософська комедія про барона-мрійника
15,movie,Інтерстеллар,Наукова фантастика;Драма,2014,Крістофер Нолан,Метью Макконахі;Енн Гетевей,Космічна одіссея про порятунок людства
16,movie,Зелена книга,Драма;Комедія,2018,Пітер Фареллі,Вігго Мортенсен;Махершала Алі,Історія дружби музиканта і водія у расистській Америці
17,movie,Паразити,Трилер;Драма,2019,Пон Джун Хо,Сон Кан Хо;Лі Сон Гюн,Корейська драма про соціальну нерівність
18,movie,Inception,Наукова фантастика;Трилер,2010,Крістофер Нолан,Леонардо ДіКапріо;Джозеф Гордон-Левітт,Фільм про крадіжку ідей через сни
19,movie,Форрест Гамп,Драма;Комедія,1994,Роберт Земекіс,Том Генкс;Робін Райт,Історія простодушного чоловіка та його дивовижного життя
